Date,Year,Quarter,Month,MonthNum,Week,DayOfWeek,IsWeekend
2024-02-17,2024,Q1,Feb,2,7,Saturday,True
2024-02-18,2024,Q1,Feb,2,7,Sunday,True
2024-02-19,2024,Q1,Feb,2,8,Monday,False
2024-02-20,2024,Q1,Feb,2,8,Tuesday,False
2024-02-21,2024,Q1,Feb,2,8,Wednesday,False
2024-02-22,2024,Q1,Feb,2,8,Thursday,False
2024-02-23,2024,Q1,Feb,2,8,Friday,False
2024-02-24,2024,Q1,Feb,2,8,Saturday,True
2024-02-25,2024,Q1,Feb,2,8,Sunday,True
2024-02-26,2024,Q1,Feb,2,9,Monday,False
2024-02-27,2024,Q1,Feb,2,9,Tuesday,False
2024-02-28,2024,Q1,Feb,2,9,Wednesday,False
2024-02-29,2024,Q1,Feb,2,9,Thursday,False
2024-03-01,2024,Q1,Mar,3,9,Friday,False
2024-03-02,2024,Q1,Mar,3,9,Saturday,True
2024-03-03,2024,Q1,Mar,3,9,Sunday,True
2024-03-04,2024,Q1,Mar,3,10,Monday,False
2024-03-05,2024,Q1,Mar,3,10,Tuesday,False
2024-03-06,2024,Q1,Mar,3,10,Wednesday,False
2024-03-07,2024,Q1,Mar,3,10,Thursday,False
2024-03-08,2024,Q1,Mar,3,10,Friday,False
2024-03-09,2024,Q1,Mar,3,10,Saturday,True
2024-03-10,2024,Q1,Mar,3,10,Sunday,True
2024-03-11,2024,Q1,Mar,3,11,Monday,False
2024-03-12,2024,Q1,Mar,3,11,Tuesday,False
2024-03-13,2024,Q1,Mar,3,11,Wednesday,False
2024-03-14,2024,Q1,Mar,3,11,Thursday,False
2024-03-15,2024,Q1,Mar,3,11,Friday,False
2024-03-16,2024,Q1,Mar,3,11,Saturday,True
2024-03-17,2024,Q1,Mar,3,11,Sunday,True
2024-03-18,2024,Q1,Mar,3,12,Monday,False
2024-03-19,2024,Q1,Mar,3,12,Tuesday,False
2024-03-20,2024,Q1,Mar,3,12,Wednesday,False
2024-03-21,2024,Q1,Mar,3,12,Thursday,False
2024-03-22,2024,Q1,Mar,3,12,Friday,False
2024-03-23,2024,Q1,Mar,3,12,Saturday,True
2024-03-24,2024,Q1,Mar,3,12,Sunday,True
2024-03-25,2024,Q1,Mar,3,13,Monday,False
2024-03-26,2024,Q1,Mar,3,13,Tuesday,False
2024-03-27,2024,Q1,Mar,3,13,Wednesday,False
2024-03-28,2024,Q1,Mar,3,13,Thursday,False
2024-03-29,2024,Q1,Mar,3,13,Friday,False
2024-03-30,2024,Q1,Mar,3,13,Saturday,True
2024-03-31,2024,Q1,Mar,3,13,Sunday,True
2024-04-01,2024,Q2,Apr,4,14,Monday,False
2024-04-02,2024,Q2,Apr,4,14,Tuesday,False
2024-04-03,2024,Q2,Apr,4,14,Wednesday,False
2024-04-04,2024,Q2,Apr,4,14,Thursday,False
2024-04-05,2024,Q2,Apr,4,14,Friday,False
2024-04-06,2024,Q2,Apr,4,14,Saturday,True
2024-04-07,2024,Q2,Apr,4,14,Sunday,True
2024-04-08,2024,Q2,Apr,4,15,Monday,False
2024-04-09,2024,Q2,Apr,4,15,Tuesday,False
2024-04-10,2024,Q2,Apr,4,15,Wednesday,False
2024-04-11,2024,Q2,Apr,4,15,Thursday,False
2024-04-12,2024,Q2,Apr,4,15,Friday,False
2024-04-13,2024,Q2,Apr,4,15,Saturday,True
2024-04-14,2024,Q2,Apr,4,15,Sunday,True
2024-04-15,2024,Q2,Apr,4,16,Monday,False
2024-04-16,2024,Q2,Apr,4,16,Tuesday,False
2024-04-17,2024,Q2,Apr,4,16,Wednesday,False
2024-04-18,2024,Q2,Apr,4,16,Thursday,False
2024-04-19,2024,Q2,Apr,4,16,Friday,False
2024-04-20,2024,Q2,Apr,4,16,Saturday,True
2024-04-21,2024,Q2,Apr,4,16,Sunday,True
2024-04-22,2024,Q2,Apr,4,17,Monday,False
2024-04-23,2024,Q2,Apr,4,17,Tuesday,False
2024-04-24,2024,Q2,Apr,4,17,Wednesday,False
2024-04-25,2024,Q2,Apr,4,17,Thursday,False
2024-04-26,2024,Q2,Apr,4,17,Friday,False
2024-04-27,2024,Q2,Apr,4,17,Saturday,True
2024-04-28,2024,Q2,Apr,4,17,Sunday,True
2024-04-29,2024,Q2,Apr,4,18,Monday,False
2024-04-30,2024,Q2,Apr,4,18,Tuesday,False
2024-05-01,2024,Q2,May,5,18,Wednesday,False
2024-05-02,2024,Q2,May,5,18,Thursday,False
2024-05-03,2024,Q2,May,5,18,Friday,False
2024-05-04,2024,Q2,May,5,18,Saturday,True
2024-05-05,2024,Q2,May,5,18,Sunday,True
2024-05-06,2024,Q2,May,5,19,Monday,False
2024-05-07,2024,Q2,May,5,19,Tuesday,False
2024-05-08,2024,Q2,May,5,19,Wednesday,False
2024-05-09,2024,Q2,May,5,19,Thursday,False
2024-05-10,2024,Q2,May,5,19,Friday,False
2024-05-11,2024,Q2,May,5,19,Saturday,True
2024-05-12,2024,Q2,May,5,19,Sunday,True
2024-05-13,2024,Q2,May,5,20,Monday,False
2024-05-14,2024,Q2,May,5,20,Tuesday,False
2024-05-15,2024,Q2,May,5,20,Wednesday,False
2024-05-16,2024,Q2,May,5,20,Thursday,False
2024-05-17,2024,Q2,May,5,20,Friday,False
2024-05-18,2024,Q2,May,5,20,Saturday,True
2024-05-19,2024,Q2,May,5,20,Sunday,True
2024-05-20,2024,Q2,May,5,21,Monday,False
2024-05-21,2024,Q2,May,5,21,Tuesday,False
2024-05-22,2024,Q2,May,5,21,Wednesday,False
2024-05-23,2024,Q2,May,5,21,Thursday,False
2024-05-24,2024,Q2,May,5,21,Friday,False
2024-05-25,2024,Q2,May,5,21,Saturday,True
2024-05-26,2024,Q2,May,5,21,Sunday,True
2024-05-27,2024,Q2,May,5,22,Monday,False
2024-05-28,2024,Q2,May,5,22,Tuesday,False
2024-05-29,2024,Q2,May,5,22,Wednesday,False
2024-05-30,2024,Q2,May,5,22,Thursday,False
2024-05-31,2024,Q2,May,5,22,Friday,False
2024-06-01,2024,Q2,Jun,6,22,Saturday,True
2024-06-02,2024,Q2,Jun,6,22,Sunday,True
2024-06-03,2024,Q2,Jun,6,23,Monday,False
2024-06-04,2024,Q2,Jun,6,23,Tuesday,False
2024-06-05,2024,Q2,Jun,6,23,Wednesday,False
2024-06-06,2024,Q2,Jun,6,23,Thursday,False
2024-06-07,2024,Q2,Jun,6,23,Friday,False
2024-06-08,2024,Q2,Jun,6,23,Saturday,True
2024-06-09,2024,Q2,Jun,6,23,Sunday,True
2024-06-10,2024,Q2,Jun,6,24,Monday,False
2024-06-11,2024,Q2,Jun,6,24,Tuesday,False
2024-06-12,2024,Q2,Jun,6,24,Wednesday,False
2024-06-13,2024,Q2,Jun,6,24,Thursday,False
2024-06-14,2024,Q2,Jun,6,24,Friday,False
2024-06-15,2024,Q2,Jun,6,24,Saturday,True
2024-06-16,2024,Q2,Jun,6,24,Sunday,True
2024-06-17,2024,Q2,Jun,6,25,Monday,False
2024-06-18,2024,Q2,Jun,6,25,Tuesday,False
2024-06-19,2024,Q2,Jun,6,25,Wednesday,False
2024-06-20,2024,Q2,Jun,6,25,Thursday,False
2024-06-21,2024,Q2,Jun,6,25,Friday,False
2024-06-22,2024,Q2,Jun,6,25,Saturday,True
2024-06-23,2024,Q2,Jun,6,25,Sunday,True
2024-06-24,2024,Q2,Jun,6,26,Monday,False
2024-06-25,2024,Q2,Jun,6,26,Tuesday,False
2024-06-26,2024,Q2,Jun,6,26,Wednesday,False
2024-06-27,2024,Q2,Jun,6,26,Thursday,False
2024-06-28,2024,Q2,Jun,6,26,Friday,False
2024-06-29,2024,Q2,Jun,6,26,Saturday,True
2024-06-30,2024,Q2,Jun,6,26,Sunday,True
2024-07-01,2024,Q3,Jul,7,27,Monday,False
2024-07-02,2024,Q3,Jul,7,27,Tuesday,False
2024-07-03,2024,Q3,Jul,7,27,Wednesday,False
2024-07-04,2024,Q3,Jul,7,27,Thursday,False
2024-07-05,2024,Q3,Jul,7,27,Friday,False
2024-07-06,2024,Q3,Jul,7,27,Saturday,True
2024-07-07,2024,Q3,Jul,7,27,Sunday,True
2024-07-08,2024,Q3,Jul,7,28,Monday,False
2024-07-09,2024,Q3,Jul,7,28,Tuesday,False
2024-07-10,2024,Q3,Jul,7,28,Wednesday,False
2024-07-11,2024,Q3,Jul,7,28,Thursday,False
2024-07-12,2024,Q3,Jul,7,28,Friday,False
2024-07-13,2024,Q3,Jul,7,28,Saturday,True
2024-07-14,2024,Q3,Jul,7,28,Sunday,True
2024-07-15,2024,Q3,Jul,7,29,Monday,False
2024-07-16,2024,Q3,Jul,7,29,Tuesday,False
2024-07-17,2024,Q3,Jul,7,29,Wednesday,False
2024-07-18,2024,Q3,Jul,7,29,Thursday,False
2024-07-19,2024,Q3,Jul,7,29,Friday,False
2024-07-20,2024,Q3,Jul,7,29,Saturday,True
2024-07-21,2024,Q3,Jul,7,29,Sunday,True
2024-07-22,2024,Q3,Jul,7,30,Monday,False
2024-07-23,2024,Q3,Jul,7,30,Tuesday,False
2024-07-24,2024,Q3,Jul,7,30,Wednesday,False
2024-07-25,2024,Q3,Jul,7,30,Thursday,False
2024-07-26,2024,Q3,Jul,7,30,Friday,False
2024-07-27,2024,Q3,Jul,7,30,Saturday,True
2024-07-28,2024,Q3,Jul,7,30,Sunday,True
2024-07-29,2024,Q3,Jul,7,31,Monday,False
2024-07-30,2024,Q3,Jul,7,31,Tuesday,False
2024-07-31,2024,Q3,Jul,7,31,Wednesday,False
2024-08-01,2024,Q3,Aug,8,31,Thursday,False
2024-08-02,2024,Q3,Aug,8,31,Friday,False
2024-08-03,2024,Q3,Aug,8,31,Saturday,True
2024-08-04,2024,Q3,Aug,8,31,Sunday,True
2024-08-05,2024,Q3,Aug,8,32,Monday,False
2024-08-06,2024,Q3,Aug,8,32,Tuesday,False
2024-08-07,2024,Q3,Aug,8,32,Wednesday,False
2024-08-08,2024,Q3,Aug,8,32,Thursday,False
2024-08-09,2024,Q3,Aug,8,32,Friday,False
2024-08-10,2024,Q3,Aug,8,32,Saturday,True
2024-08-11,2024,Q3,Aug,8,32,Sunday,True
2024-08-12,2024,Q3,Aug,8,33,Monday,False
2024-08-13,2024,Q3,Aug,8,33,Tuesday,False
2024-08-14,2024,Q3,Aug,8,33,Wednesday,False
2024-08-15,2024,Q3,Aug,8,33,Thursday,False
2024-08-16,2024,Q3,Aug,8,33,Friday,False
2024-08-17,2024,Q3,Aug,8,33,Saturday,True
2024-08-18,2024,Q3,Aug,8,33,Sunday,True
2024-08-19,2024,Q3,Aug,8,34,Monday,False
2024-08-20,2024,Q3,Aug,8,34,Tuesday,False
2024-08-21,2024,Q3,Aug,8,34,Wednesday,False
2024-08-22,2024,Q3,Aug,8,34,Thursday,False
2024-08-23,2024,Q3,Aug,8,34,Friday,False
2024-08-24,2024,Q3,Aug,8,34,Saturday,True
2024-08-25,2024,Q3,Aug,8,34,Sunday,True
2024-08-26,2024,Q3,Aug,8,35,Monday,False
2024-08-27,2024,Q3,Aug,8,35,Tuesday,False
2024-08-28,2024,Q3,Aug,8,35,Wednesday,False
2024-08-29,2024,Q3,Aug,8,35,Thursday,False
2024-08-30,2024,Q3,Aug,8,35,Friday,False
2024-08-31,2024,Q3,Aug,8,35,Saturday,True
2024-09-01,2024,Q3,Sep,9,35,Sunday,True
2024-09-02,2024,Q3,Sep,9,36,Monday,False
2024-09-03,2024,Q3,Sep,9,36,Tuesday,False
2024-09-04,2024,Q3,Sep,9,36,Wednesday,False
2024-09-05,2024,Q3,Sep,9,36,Thursday,False
2024-09-06,2024,Q3,Sep,9,36,Friday,False
2024-09-07,2024,Q3,Sep,9,36,Saturday,True
2024-09-08,2024,Q3,Sep,9,36,Sunday,True
2024-09-09,2024,Q3,Sep,9,37,Monday,False
2024-09-10,2024,Q3,Sep,9,37,Tuesday,False
2024-09-11,2024,Q3,Sep,9,37,Wednesday,False
2024-09-12,2024,Q3,Sep,9,37,Thursday,False
2024-09-13,2024,Q3,Sep,9,37,Friday,False
2024-09-14,2024,Q3,Sep,9,37,Saturday,True
2024-09-15,2024,Q3,Sep,9,37,Sunday,True
2024-09-16,2024,Q3,Sep,9,38,Monday,False
2024-09-17,2024,Q3,Sep,9,38,Tuesday,False
2024-09-18,2024,Q3,Sep,9,38,Wednesday,False
2024-09-19,2024,Q3,Sep,9,38,Thursday,False
2024-09-20,2024,Q3,Sep,9,38,Friday,False
2024-09-21,2024,Q3,Sep,9,38,Saturday,True
2024-09-22,2024,Q3,Sep,9,38,Sunday,True
2024-09-23,2024,Q3,Sep,9,39,Monday,False
2024-09-24,2024,Q3,Sep,9,39,Tuesday,False
2024-09-25,2024,Q3,Sep,9,39,Wednesday,False
2024-09-26,2024,Q3,Sep,9,39,Thursday,False
2024-09-27,2024,Q3,Sep,9,39,Friday,False
2024-09-28,2024,Q3,Sep,9,39,Saturday,True
2024-09-29,2024,Q3,Sep,9,39,Sunday,True
2024-09-30,2024,Q3,Sep,9,40,Monday,False
2024-10-01,2024,Q4,Oct,10,40,Tuesday,False
2024-10-02,2024,Q4,Oct,10,40,Wednesday,False
2024-10-03,2024,Q4,Oct,10,40,Thursday,False
2024-10-04,2024,Q4,Oct,10,40,Friday,False
2024-10-05,2024,Q4,Oct,10,40,Saturday,True
2024-10-06,2024,Q4,Oct,10,40,Sunday,True
2024-10-07,2024,Q4,Oct,10,41,Monday,False
2024-10-08,2024,Q4,Oct,10,41,Tuesday,False
2024-10-09,2024,Q4,Oct,10,41,Wednesday,False
2024-10-10,2024,Q4,Oct,10,41,Thursday,False
2024-10-11,2024,Q4,Oct,10,41,Friday,False
2024-10-12,2024,Q4,Oct,10,41,Saturday,True
2024-10-13,2024,Q4,Oct,10,41,Sunday,True
2024-10-14,2024,Q4,Oct,10,42,Monday,False
2024-10-15,2024,Q4,Oct,10,42,Tuesday,False
2024-10-16,2024,Q4,Oct,10,42,Wednesday,False
2024-10-17,2024,Q4,Oct,10,42,Thursday,False
2024-10-18,2024,Q4,Oct,10,42,Friday,False
2024-10-19,2024,Q4,Oct,10,42,Saturday,True
2024-10-20,2024,Q4,Oct,10,42,Sunday,True
2024-10-21,2024,Q4,Oct,10,43,Monday,False
2024-10-22,2024,Q4,Oct,10,43,Tuesday,False
2024-10-23,2024,Q4,Oct,10,43,Wednesday,False
2024-10-24,2024,Q4,Oct,10,43,Thursday,False
2024-10-25,2024,Q4,Oct,10,43,Friday,False
2024-10-26,2024,Q4,Oct,10,43,Saturday,True
2024-10-27,2024,Q4,Oct,10,43,Sunday,True
2024-10-28,2024,Q4,Oct,10,44,Monday,False
2024-10-29,2024,Q4,Oct,10,44,Tuesday,False
2024-10-30,2024,Q4,Oct,10,44,Wednesday,False
2024-10-31,2024,Q4,Oct,10,44,Thursday,False
2024-11-01,2024,Q4,Nov,11,44,Friday,False
2024-11-02,2024,Q4,Nov,11,44,Saturday,True
2024-11-03,2024,Q4,Nov,11,44,Sunday,True
2024-11-04,2024,Q4,Nov,11,45,Monday,False
2024-11-05,2024,Q4,Nov,11,45,Tuesday,False
2024-11-06,2024,Q4,Nov,11,45,Wednesday,False
2024-11-07,2024,Q4,Nov,11,45,Thursday,False
2024-11-08,2024,Q4,Nov,11,45,Friday,False
2024-11-09,2024,Q4,Nov,11,45,Saturday,True
2024-11-10,2024,Q4,Nov,11,45,Sunday,True
2024-11-11,2024,Q4,Nov,11,46,Monday,False
2024-11-12,2024,Q4,Nov,11,46,Tuesday,False
2024-11-13,2024,Q4,Nov,11,46,Wednesday,False
2024-11-14,2024,Q4,Nov,11,46,Thursday,False
2024-11-15,2024,Q4,Nov,11,46,Friday,False
2024-11-16,2024,Q4,Nov,11,46,Saturday,True
2024-11-17,2024,Q4,Nov,11,46,Sunday,True
2024-11-18,2024,Q4,Nov,11,47,Monday,False
2024-11-19,2024,Q4,Nov,11,47,Tuesday,False
2024-11-20,2024,Q4,Nov,11,47,Wednesday,False
2024-11-21,2024,Q4,Nov,11,47,Thursday,False
2024-11-22,2024,Q4,Nov,11,47,Friday,False
2024-11-23,2024,Q4,Nov,11,47,Saturday,True
2024-11-24,2024,Q4,Nov,11,47,Sunday,True
2024-11-25,2024,Q4,Nov,11,48,Monday,False
2024-11-26,2024,Q4,Nov,11,48,Tuesday,False
2024-11-27,2024,Q4,Nov,11,48,Wednesday,False
2024-11-28,2024,Q4,Nov,11,48,Thursday,False
2024-11-29,2024,Q4,Nov,11,48,Friday,False
2024-11-30,2024,Q4,Nov,11,48,Saturday,True
2024-12-01,2024,Q4,Dec,12,48,Sunday,True
2024-12-02,2024,Q4,Dec,12,49,Monday,False
2024-12-03,2024,Q4,Dec,12,49,Tuesday,False
2024-12-04,2024,Q4,Dec,12,49,Wednesday,False
2024-12-05,2024,Q4,Dec,12,49,Thursday,False
2024-12-06,2024,Q4,Dec,12,49,Friday,False
2024-12-07,2024,Q4,Dec,12,49,Saturday,True
2024-12-08,2024,Q4,Dec,12,49,Sunday,True
2024-12-09,2024,Q4,Dec,12,50,Monday,False
2024-12-10,2024,Q4,Dec,12,50,Tuesday,False
2024-12-11,2024,Q4,Dec,12,50,Wednesday,False
2024-12-12,2024,Q4,Dec,12,50,Thursday,False
2024-12-13,2024,Q4,Dec,12,50,Friday,False
2024-12-14,2024,Q4,Dec,12,50,Saturday,True
2024-12-15,2024,Q4,Dec,12,50,Sunday,True
2024-12-16,2024,Q4,Dec,12,51,Monday,False
2024-12-17,2024,Q4,Dec,12,51,Tuesday,False
2024-12-18,2024,Q4,Dec,12,51,Wednesday,False
2024-12-19,2024,Q4,Dec,12,51,Thursday,False
2024-12-20,2024,Q4,Dec,12,51,Friday,False
2024-12-21,2024,Q4,Dec,12,51,Saturday,True
2024-12-22,2024,Q4,Dec,12,51,Sunday,True
2024-12-23,2024,Q4,Dec,12,52,Monday,False
2024-12-24,2024,Q4,Dec,12,52,Tuesday,False
2024-12-25,2024,Q4,Dec,12,52,Wednesday,False
2024-12-26,2024,Q4,Dec,12,52,Thursday,False
2024-12-27,2024,Q4,Dec,12,52,Friday,False
2024-12-28,2024,Q4,Dec,12,52,Saturday,True
2024-12-29,2024,Q4,Dec,12,52,Sunday,True
2024-12-30,2024,Q4,Dec,12,1,Monday,False
2024-12-31,2024,Q4,Dec,12,1,Tuesday,False
2025-01-01,2025,Q1,Jan,1,1,Wednesday,False
2025-01-02,2025,Q1,Jan,1,1,Thursday,False
2025-01-03,2025,Q1,Jan,1,1,Friday,False
2025-01-04,2025,Q1,Jan,1,1,Saturday,True
2025-01-05,2025,Q1,Jan,1,1,Sunday,True
2025-01-06,2025,Q1,Jan,1,2,Monday,False
2025-01-07,2025,Q1,Jan,1,2,Tuesday,False
2025-01-08,2025,Q1,Jan,1,2,Wednesday,False
2025-01-09,2025,Q1,Jan,1,2,Thursday,False
2025-01-10,2025,Q1,Jan,1,2,Friday,False
2025-01-11,2025,Q1,Jan,1,2,Saturday,True
2025-01-12,2025,Q1,Jan,1,2,Sunday,True
2025-01-13,2025,Q1,Jan,1,3,Monday,False
2025-01-14,2025,Q1,Jan,1,3,Tuesday,False
2025-01-15,2025,Q1,Jan,1,3,Wednesday,False
2025-01-16,2025,Q1,Jan,1,3,Thursday,False
2025-01-17,2025,Q1,Jan,1,3,Friday,False
2025-01-18,2025,Q1,Jan,1,3,Saturday,True
2025-01-19,2025,Q1,Jan,1,3,Sunday,True
2025-01-20,2025,Q1,Jan,1,4,Monday,False
2025-01-21,2025,Q1,Jan,1,4,Tuesday,False
2025-01-22,2025,Q1,Jan,1,4,Wednesday,False
2025-01-23,2025,Q1,Jan,1,4,Thursday,False
2025-01-24,2025,Q1,Jan,1,4,Friday,False
2025-01-25,2025,Q1,Jan,1,4,Saturday,True
2025-01-26,2025,Q1,Jan,1,4,Sunday,True
2025-01-27,2025,Q1,Jan,1,5,Monday,False
2025-01-28,2025,Q1,Jan,1,5,Tuesday,False
2025-01-29,2025,Q1,Jan,1,5,Wednesday,False
2025-01-30,2025,Q1,Jan,1,5,Thursday,False
2025-01-31,2025,Q1,Jan,1,5,Friday,False
2025-02-01,2025,Q1,Feb,2,5,Saturday,True
2025-02-02,2025,Q1,Feb,2,5,Sunday,True
2025-02-03,2025,Q1,Feb,2,6,Monday,False
2025-02-04,2025,Q1,Feb,2,6,Tuesday,False
2025-02-05,2025,Q1,Feb,2,6,Wednesday,False
2025-02-06,2025,Q1,Feb,2,6,Thursday,False
2025-02-07,2025,Q1,Feb,2,6,Friday,False
2025-02-08,2025,Q1,Feb,2,6,Saturday,True
2025-02-09,2025,Q1,Feb,2,6,Sunday,True
2025-02-10,2025,Q1,Feb,2,7,Monday,False
2025-02-11,2025,Q1,Feb,2,7,Tuesday,False
2025-02-12,2025,Q1,Feb,2,7,Wednesday,False
2025-02-13,2025,Q1,Feb,2,7,Thursday,False
2025-02-14,2025,Q1,Feb,2,7,Friday,False
2025-02-15,2025,Q1,Feb,2,7,Saturday,True
2025-02-16,2025,Q1,Feb,2,7,Sunday,True
2025-02-17,2025,Q1,Feb,2,8,Monday,False
2025-02-18,2025,Q1,Feb,2,8,Tuesday,False
2025-02-19,2025,Q1,Feb,2,8,Wednesday,False
2025-02-20,2025,Q1,Feb,2,8,Thursday,False
2025-02-21,2025,Q1,Feb,2,8,Friday,False
2025-02-22,2025,Q1,Feb,2,8,Saturday,True
2025-02-23,2025,Q1,Feb,2,8,Sunday,True
2025-02-24,2025,Q1,Feb,2,9,Monday,False
2025-02-25,2025,Q1,Feb,2,9,Tuesday,False
2025-02-26,2025,Q1,Feb,2,9,Wednesday,False
2025-02-27,2025,Q1,Feb,2,9,Thursday,False
2025-02-28,2025,Q1,Feb,2,9,Friday,False
2025-03-01,2025,Q1,Mar,3,9,Saturday,True
2025-03-02,2025,Q1,Mar,3,9,Sunday,True
2025-03-03,2025,Q1,Mar,3,10,Monday,False
2025-03-04,2025,Q1,Mar,3,10,Tuesday,False
2025-03-05,2025,Q1,Mar,3,10,Wednesday,False
2025-03-06,2025,Q1,Mar,3,10,Thursday,False
2025-03-07,2025,Q1,Mar,3,10,Friday,False
2025-03-08,2025,Q1,Mar,3,10,Saturday,True
2025-03-09,2025,Q1,Mar,3,10,Sunday,True
2025-03-10,2025,Q1,Mar,3,11,Monday,False
2025-03-11,2025,Q1,Mar,3,11,Tuesday,False
2025-03-12,2025,Q1,Mar,3,11,Wednesday,False
2025-03-13,2025,Q1,Mar,3,11,Thursday,False
2025-03-14,2025,Q1,Mar,3,11,Friday,False
2025-03-15,2025,Q1,Mar,3,11,Saturday,True
2025-03-16,2025,Q1,Mar,3,11,Sunday,True
2025-03-17,2025,Q1,Mar,3,12,Monday,False
2025-03-18,2025,Q1,Mar,3,12,Tuesday,False
2025-03-19,2025,Q1,Mar,3,12,Wednesday,False
2025-03-20,2025,Q1,Mar,3,12,Thursday,False
2025-03-21,2025,Q1,Mar,3,12,Friday,False
2025-03-22,2025,Q1,Mar,3,12,Saturday,True
2025-03-23,2025,Q1,Mar,3,12,Sunday,True
2025-03-24,2025,Q1,Mar,3,13,Monday,False
2025-03-25,2025,Q1,Mar,3,13,Tuesday,False
2025-03-26,2025,Q1,Mar,3,13,Wednesday,False
2025-03-27,2025,Q1,Mar,3,13,Thursday,False
2025-03-28,2025,Q1,Mar,3,13,Friday,False
2025-03-29,2025,Q1,Mar,3,13,Saturday,True
2025-03-30,2025,Q1,Mar,3,13,Sunday,True
2025-03-31,2025,Q1,Mar,3,14,Monday,False
2025-04-01,2025,Q2,Apr,4,14,Tuesday,False
2025-04-02,2025,Q2,Apr,4,14,Wednesday,False
2025-04-03,2025,Q2,Apr,4,14,Thursday,False
2025-04-04,2025,Q2,Apr,4,14,Friday,False
2025-04-05,2025,Q2,Apr,4,14,Saturday,True
2025-04-06,2025,Q2,Apr,4,14,Sunday,True
2025-04-07,2025,Q2,Apr,4,15,Monday,False
2025-04-08,2025,Q2,Apr,4,15,Tuesday,False
2025-04-09,2025,Q2,Apr,4,15,Wednesday,False
2025-04-10,2025,Q2,Apr,4,15,Thursday,False
2025-04-11,2025,Q2,Apr,4,15,Friday,False
2025-04-12,2025,Q2,Apr,4,15,Saturday,True
2025-04-13,2025,Q2,Apr,4,15,Sunday,True
2025-04-14,2025,Q2,Apr,4,16,Monday,False
2025-04-15,2025,Q2,Apr,4,16,Tuesday,False
2025-04-16,2025,Q2,Apr,4,16,Wednesday,False
2025-04-17,2025,Q2,Apr,4,16,Thursday,False
2025-04-18,2025,Q2,Apr,4,16,Friday,False
2025-04-19,2025,Q2,Apr,4,16,Saturday,True
2025-04-20,2025,Q2,Apr,4,16,Sunday,True
2025-04-21,2025,Q2,Apr,4,17,Monday,False
2025-04-22,2025,Q2,Apr,4,17,Tuesday,False
2025-04-23,2025,Q2,Apr,4,17,Wednesday,False
2025-04-24,2025,Q2,Apr,4,17,Thursday,False
2025-04-25,2025,Q2,Apr,4,17,Friday,False
2025-04-26,2025,Q2,Apr,4,17,Saturday,True
