TradeID,Date,CommodityID,TraderID,Position,Volume,Price,Notional_EUR,PnL_EUR
TR000210,2024-01-15,PWR,T03,Long,400,94.05,37619.35,1015.31
TR000211,2024-01-15,CO2,T08,Long,537,61.91,33243.93,100.58
TR000212,2024-01-15,CO2,T03,Short,937,65.96,61805.3,152.56
TR000213,2024-01-15,GAS,T05,Short,1711,30.23,51729.23,-469.86
TR000214,2024-01-15,CO2,T01,Short,332,66.7,22144.0,216.35
TR000215,2024-01-15,COAL,T06,Long,752,111.09,83542.22,3260.26
TR000216,2024-01-15,COAL,T02,Long,1657,110.96,183855.32,-3323.58
TR000217,2024-01-15,PWR,T07,Short,1969,86.74,170781.72,3587.72
TR000218,2024-01-15,COAL,T04,Short,1491,107.03,159584.42,-1551.83
TR000219,2024-01-15,CO2,T04,Short,1979,71.24,140981.13,2643.92
TR000220,2024-01-15,COAL,T04,Short,322,108.49,34934.38,618.75
TR000221,2024-01-15,CO2,T07,Short,585,64.19,37549.76,-62.42
TR000222,2024-01-16,COAL,T06,Short,1149,111.95,128633.04,1577.22
TR000223,2024-01-16,GAS,T08,Long,530,32.7,17333.5,-150.56
TR000224,2024-01-16,CO2,T02,Short,450,65.89,29650.68,-256.52
TR000225,2024-01-16,CO2,T02,Long,1844,66.54,122698.01,89.58
TR000226,2024-01-16,PWR,T04,Short,1499,87.13,130604.55,289.16
TR000227,2024-01-16,GAS,T02,Short,1655,30.35,50234.23,2164.29
TR000228,2024-01-16,GAS,T05,Long,1901,31.23,59358.73,417.39
TR000229,2024-01-16,PWR,T05,Long,1293,84.54,109306.41,-333.94
TR000230,2024-01-16,COAL,T03,Long,1769,110.07,194705.67,-2182.3
TR000231,2024-01-16,GAS,T07,Long,1472,31.89,46943.15,78.13
TR000232,2024-01-16,CO2,T08,Short,1654,66.74,110392.17,7.78
TR000233,2024-01-16,GAS,T08,Short,647,30.89,19983.04,49.21
TR000234,2024-01-16,PWR,T03,Short,578,86.23,49840.84,274.39
TR000235,2024-01-16,GAS,T03,Long,891,30.42,27106.97,264.37
TR000236,2024-01-16,CO2,T01,Long,660,63.97,42220.45,-516.12
TR000237,2024-01-16,COAL,T08,Long,425,110.64,47020.2,1145.89
TR000238,2024-01-17,GAS,T05,Long,1170,33.52,39214.25,-45.78
TR000239,2024-01-17,COAL,T08,Long,1993,110.61,220442.84,-4755.87
TR000240,2024-01-17,PWR,T06,Short,877,85.46,74946.54,-1075.7
TR000241,2024-01-17,CO2,T01,Long,269,65.27,17556.7,-337.93
TR000242,2024-01-17,CO2,T06,Short,1960,66.49,130313.46,1060.36
TR000243,2024-01-17,COAL,T03,Short,1868,105.45,196983.43,754.21
TR000244,2024-01-17,COAL,T06,Short,1549,111.32,172437.53,193.9
TR000245,2024-01-17,CO2,T07,Long,506,66.24,33517.02,368.09
TR000246,2024-01-17,GAS,T01,Short,239,33.45,7994.83,-65.57
TR000247,2024-01-17,COAL,T06,Long,945,105.64,99827.12,3017.09
TR000248,2024-01-17,PWR,T08,Short,532,82.17,43712.71,-194.94
TR000249,2024-01-17,CO2,T03,Long,1888,68.54,129412.21,-733.93
TR000250,2024-01-17,COAL,T04,Short,894,113.03,101044.8,-1011.65
TR000251,2024-01-17,COAL,T02,Short,191,103.98,19859.96,425.41
TR000252,2024-01-17,CO2,T02,Long,663,63.58,42152.26,-42.61
TR000253,2024-01-17,CO2,T04,Short,1581,68.63,108497.37,857.27
TR000254,2024-01-17,CO2,T03,Long,869,65.49,56914.96,-495.18
TR000255,2024-01-17,COAL,T08,Long,1695,111.86,189596.12,2557.09
TR000256,2024-01-17,CO2,T06,Long,1398,65.43,91475.62,1594.25
TR000257,2024-01-17,PWR,T02,Short,708,78.3,55438.53,91.42
TR000258,2024-01-17,PWR,T02,Long,589,85.62,50431.15,-1211.83
TR000259,2024-01-17,CO2,T07,Long,1160,65.33,75782.86,1926.84
TR000260,2024-01-17,GAS,T06,Short,411,31.86,13094.47,-59.84
TR000261,2024-01-17,PWR,T08,Short,1047,85.66,89690.76,1960.93
TR000262,2024-01-17,PWR,T07,Long,367,87.11,31970.6,642.83
TR000263,2024-01-17,GAS,T02,Short,232,31.67,7347.42,87.73
TR000264,2024-01-17,PWR,T02,Short,1693,80.82,136835.96,3106.96
TR000265,2024-01-17,CO2,T03,Short,1037,69.26,71825.32,1054.71
TR000266,2024-01-17,CO2,T02,Long,1397,71.45,99812.38,1342.73
TR000267,2024-01-18,CO2,T08,Short,90,58.64,5277.57,70.95
TR000268,2024-01-18,COAL,T08,Long,1613,110.99,179024.66,2038.03
TR000269,2024-01-18,GAS,T01,Long,284,32.66,9274.54,264.45
TR000270,2024-01-18,PWR,T04,Long,1578,92.92,146621.66,-1905.0
TR000271,2024-01-18,PWR,T08,Long,1103,92.01,101489.52,200.12
TR000272,2024-01-18,GAS,T02,Long,609,29.38,17889.71,-186.01
TR000273,2024-01-18,COAL,T05,Long,1269,109.17,138533.06,-2523.64
TR000274,2024-01-18,PWR,T06,Long,444,92.96,41276.32,-308.5
TR000275,2024-01-18,GAS,T03,Long,606,32.21,19521.04,122.45
TR000276,2024-01-18,COAL,T01,Long,294,106.85,31414.12,-209.04
TR000277,2024-01-18,PWR,T06,Short,250,86.64,21659.05,-293.67
TR000278,2024-01-18,PWR,T08,Long,1238,88.41,109448.14,-3347.41
TR000279,2024-01-18,PWR,T08,Long,1182,91.67,108354.97,-759.73
TR000280,2024-01-18,PWR,T02,Short,1353,77.57,104953.98,-261.75
TR000281,2024-01-18,PWR,T08,Short,1287,79.65,102508.56,-1630.87
TR000282,2024-01-18,GAS,T02,Short,113,29.83,3370.6,-12.18
TR000283,2024-01-18,GAS,T08,Short,1026,31.61,32436.3,-136.29
TR000284,2024-01-18,PWR,T05,Long,913,85.09,77684.94,455.07
TR000285,2024-01-18,COAL,T07,Long,753,118.42,89167.32,-1547.93
TR000286,2024-01-18,GAS,T04,Long,414,32.81,13582.09,303.95
TR000287,2024-01-18,COAL,T02,Short,1086,109.63,119062.95,-1792.31
TR000288,2024-01-18,PWR,T04,Short,175,80.44,14077.0,-85.95
TR000289,2024-01-18,CO2,T04,Long,696,63.08,43904.45,564.14
TR000290,2024-01-18,CO2,T03,Short,1749,69.81,122092.03,-1297.17
TR000291,2024-01-18,COAL,T06,Short,959,112.03,107439.14,2990.84
TR000292,2024-01-18,PWR,T01,Short,424,82.33,34909.95,114.91
TR000293,2024-01-18,CO2,T03,Long,1363,60.87,82970.61,791.9
TR000294,2024-01-18,CO2,T04,Long,1306,59.16,77264.14,-153.58
TR000295,2024-01-18,PWR,T06,Long,593,88.83,52676.26,-671.14
TR000296,2024-01-19,CO2,T01,Short,102,59.08,6025.84,19.63
TR000297,2024-01-19,GAS,T01,Long,1363,32.14,43807.8,-1162.49
TR000298,2024-01-19,GAS,T02,Short,1227,32.18,39485.25,5.51
TR000299,2024-01-19,GAS,T03,Short,1724,30.86,53205.09,-898.3
TR000300,2024-01-19,COAL,T06,Long,247,109.74,27104.56,260.71
TR000301,2024-01-19,CO2,T04,Short,681,71.3,48554.1,967.27
TR000302,2024-01-19,COAL,T02,Short,1525,107.57,164049.19,968.93
TR000303,2024-01-19,GAS,T06,Long,920,32.17,29600.64,-430.69
TR000304,2024-01-19,PWR,T05,Short,790,83.43,65907.55,-323.69
TR000305,2024-01-19,COAL,T05,Long,1822,112.75,205424.35,2329.07
TR000306,2024-01-19,CO2,T01,Long,871,65.72,57241.57,-291.86
TR000307,2024-01-19,CO2,T02,Long,1117,65.34,72984.32,-1097.16
TR000308,2024-01-19,GAS,T03,Short,1853,30.86,57184.4,-1025.32
TR000309,2024-01-19,CO2,T06,Short,833,64.13,53421.06,-1254.2
TR000310,2024-01-19,CO2,T05,Long,1747,67.8,118453.87,1051.54
TR000311,2024-01-19,COAL,T04,Short,1601,105.27,168542.29,3710.1
TR000312,2024-01-19,PWR,T06,Long,1529,89.28,136511.79,1386.21
TR000313,2024-01-19,COAL,T08,Short,520,116.8,60735.52,97.99
TR000314,2024-01-19,CO2,T06,Long,1602,70.91,113604.63,554.56
TR000315,2024-01-19,CO2,T03,Long,1766,60.85,107452.82,397.31
TR000316,2024-01-19,CO2,T02,Long,1511,64.59,97594.72,609.67
TR000317,2024-01-19,COAL,T03,Long,995,105.87,105337.91,-246.21
TR000318,2024-01-19,GAS,T03,Long,259,33.47,8669.4,-80.32
TR000319,2024-01-19,GAS,T08,Short,669,33.64,22508.4,15.11
TR000320,2024-01-22,PWR,T07,Short,745,85.03,63347.25,-2164.89
TR000321,2024-01-22,GAS,T05,Long,935,31.11,29087.14,68.52
TR000322,2024-01-22,GAS,T07,Short,897,30.92,27739.67,-658.77
TR000323,2024-01-22,COAL,T07,Short,1669,116.09,193760.95,641.07
TR000324,2024-01-22,GAS,T07,Short,1328,33.16,44036.48,137.05
TR000325,2024-01-22,CO2,T07,Long,1726,65.13,112419.52,-820.52
TR000326,2024-01-22,CO2,T04,Long,1908,53.89,102829.86,3085.46
TR000327,2024-01-22,PWR,T05,Long,165,92.5,15263.29,-135.6
TR000328,2024-01-22,PWR,T08,Long,1266,80.29,101646.75,1137.56
TR000329,2024-01-22,GAS,T03,Long,148,35.25,5216.38,-122.4
TR000330,2024-01-22,COAL,T07,Long,133,112.83,15006.59,121.32
TR000331,2024-01-22,CO2,T06,Short,1353,55.05,74487.47,-222.29
TR000332,2024-01-22,COAL,T01,Short,328,103.17,33838.71,-162.25
TR000333,2024-01-22,COAL,T02,Short,1898,109.52,207874.3,1722.2
TR000334,2024-01-22,COAL,T01,Long,1982,115.03,227991.04,2806.19
TR000335,2024-01-22,GAS,T02,Short,1452,31.5,45742.41,779.08
TR000336,2024-01-22,CO2,T03,Long,1275,65.54,83566.99,-1013.17
TR000337,2024-01-22,GAS,T05,Short,485,33.21,16106.41,363.14
TR000338,2024-01-22,COAL,T02,Short,1856,105.44,195687.7,531.31
TR000339,2024-01-22,COAL,T04,Short,1413,108.75,153666.33,1059.68
TR000340,2024-01-22,COAL,T02,Long,1012,110.19,111510.09,1118.57
TR000341,2024-01-22,CO2,T05,Short,1874,66.21,124074.94,601.59
TR000342,2024-01-22,PWR,T08,Long,242,99.22,24012.11,694.28
TR000343,2024-01-22,CO2,T02,Short,1449,60.85,88176.21,1338.64
TR000344,2024-01-22,PWR,T04,Long,1913,76.98,147254.39,1506.54
TR000345,2024-01-23,CO2,T04,Short,895,69.97,62622.45,815.76
TR000346,2024-01-23,CO2,T05,Long,608,63.23,38443.65,122.11
TR000347,2024-01-23,PWR,T08,Short,387,83.42,32283.19,255.7
TR000348,2024-01-23,PWR,T03,Short,1547,94.48,146165.54,1344.78
TR000349,2024-01-23,PWR,T07,Long,1709,74.53,127364.23,-244.62
TR000350,2024-01-23,GAS,T04,Short,197,32.04,6312.05,68.46
TR000351,2024-01-23,CO2,T08,Short,122,69.15,8436.28,253.86
TR000352,2024-01-23,CO2,T05,Short,1388,73.63,102192.61,1498.49
TR000353,2024-01-23,CO2,T07,Short,350,65.77,23020.91,172.96
TR000354,2024-01-23,PWR,T07,Short,311,93.94,29214.63,-305.71
TR000355,2024-01-23,PWR,T05,Short,1344,84.42,113454.28,-1405.78
TR000356,2024-01-23,COAL,T06,Long,261,105.1,27431.79,283.8
TR000357,2024-01-23,COAL,T03,Short,1903,106.37,202415.38,5700.35
TR000358,2024-01-23,COAL,T03,Short,919,104.67,96195.72,-298.36
TR000359,2024-01-23,CO2,T05,Short,1442,69.4,100081.45,-3548.7
TR000360,2024-01-24,GAS,T08,Long,791,32.74,25895.05,347.4
TR000361,2024-01-24,CO2,T01,Long,1771,71.08,125876.01,0.8
TR000362,2024-01-24,CO2,T04,Long,1827,63.31,115661.56,2504.59
